Year,GDP per capita (current US$),Individuals using the Internet (% of population),"Life expectancy at birth, total (years)",GDP_growth,LE_change,Internet_growth
2024,7345.13569000377,,,2.085229579985959,,0.0
2000,492.457669429651,,58.097,,,
2001,587.804355560918,,58.772,19.36139734440414,0.6749999999999972,
2002,533.982476434866,0.0,59.477,-9.156427409370227,0.7049999999999983,
2003,534.901153697657,,60.13,0.1720425862894448,0.6530000000000058,
2004,474.420767344689,,60.743,-11.306834157092403,0.6129999999999995,
2005,487.464555404292,0.099,61.272,2.749413380996879,0.5289999999999964,inf
2013,1204.56841532931,11.0,64.719,147.1089235052728,3.446999999999996,11011.11111111111
2014,1224.74957758801,17.5,65.027,1.6753853082875914,0.3080000000000069,59.09090909090908
2015,1319.59297370991,18.6,65.326,7.743901109048124,0.2989999999999924,6.285714285714295
2016,1335.54390089814,21.2,65.61,1.208776304968162,0.284000000000006,13.978494623655902
2017,1266.17767952941,24.2,65.898,-5.193855576150064,0.2879999999999967,14.150943396226424
2018,1219.46599728983,27.6,66.204,-3.68918857082845,0.3059999999999974,14.049586776859524
2019,1562.36458068032,28.0,66.496,28.11874903872316,0.2920000000000016,1.4492753623188248
2020,1630.86938521256,32.0,66.919,4.3846875037585775,0.4230000000000018,14.28571428571428
2021,2684.82702378987,35.0,66.199,64.62550883190086,-0.7199999999999989,9.375
2022,2343.24523350389,34.5,67.368,-12.722674021799996,1.168999999999997,-1.4285714285714235
2023,1502.51964514186,34.0,67.689,-35.87868552302058,0.3209999999999979,-1.449275362318836
2024,1343.14886031844,,,-10.60690190232908,,0.0
2000,409.889802792768,0.8,54.577,,,
2001,396.692654520135,0.9,54.746,-3.219682017633707,0.169000000000004,12.5
2002,445.238691488925,1.0,55.032,12.23769495493039,0.2859999999999942,11.111111111111116
2003,538.16537776929,1.2,55.299,20.87120640158393,0.267000000000003,20.0
2004,560.266308533382,1.5,55.594,4.106717317212216,0.2950000000000017,25.0
2005,551.259850017077,1.8,55.916,-1.6075317003946488,0.3219999999999956,20.0
2013,826.543259457126,4.5,58.345,49.937141156121065,2.429000000000002,150.0
2014,855.585284856656,5.7,58.766,3.513672765126019,0.4209999999999994,26.66666666666666
2015,751.052405084336,7.12,59.22,-12.217704257248108,0.4540000000000006,24.912280701754376
2016,772.581787093976,11.3,59.669,2.866561888876773,0.448999999999998,58.70786516853934
2017,792.765487219069,12.4,60.135,2.612500121315686,0.4660000000000011,9.734513274336276
2018,851.130806891807,15.5,60.601,7.362242758255899,0.4660000000000011,25.0
2019,826.260654099894,20.7,61.055,-2.9220129961850083,0.4540000000000006,33.54838709677419
2020,853.578220263722,29.0,61.123,3.306168099410089,0.0679999999999978,40.09661835748793
2021,939.613373786407,30.3,61.328,10.07935201253185,0.2050000000000054,4.482758620689653
2022,898.758154410712,35.5,62.29,-4.348088321801836,0.9619999999999962,17.16171617161717
2023,985.697512629974,37.0,62.739,9.673276152500154,0.448999999999998,4.225352112676051
2024,1043.14092889765,,,5.827692119706085,,0.0
2000,1995.07667546271,2.43,69.635,,,
2001,1753.51667576626,2.83,69.8,-12.10780531231592,0.164999999999992,16.46090534979423
2002,1759.4805324576,2.91,70.03,0.3401083533313809,0.2300000000000039,2.826855123674909
2003,1936.04104012389,2.99,70.228,10.034808820514463,0.1979999999999933,2.749140893470803
2004,2195.44890047673,3.95,70.433,13.398882305523864,0.2050000000000125,32.10702341137124
2005,2477.72620144825,4.91,70.56,12.857384242021052,0.1269999999999953,24.303797468354425
2013,4219.24670113014,32.8,71.65,70.28704376875692,1.0900000000000034,568.0244399185335
2014,4136.59010898445,36.0,71.721,-1.9590367191268945,0.0709999999999979,9.756097560975618
2015,4123.90347238813,38.7,71.851,-0.3066931037901454,0.1299999999999954,7.500000000000018
2016,3987.98618837043,40.0,71.951,-3.2958405774466515,0.0999999999999943,3.3591731266149782
2017,4365.92929788648,46.2,72.066,9.477041586006196,0.1150000000000091,15.500000000000004
2018,4638.8978542585,,72.169,6.2522440870529605,0.1029999999999944,0.0
